Salary,Cumulative Percentage
65000,14.49554849570941
70000,14.53517415661944
65000,14.571969413178754
70000,14.611595074088784
65000,14.648390330648098
70000,14.688015991558128
65000,14.724811248117442
65000,14.761606504676756
70000,14.801232165586786
65000,14.8380274221461
70000,14.87765308305613
65000,14.914448339615443
70000,14.954074000525473
65000,14.990869257084787
70000,15.030494917994817
65000,15.067290174554131
70000,15.10691583546416
55000,15.138050283322041
65000,15.174845539881355
65000,15.211640796440669
65000,15.248436052999983
65000,15.285231309559297
65000,15.32202656611861
65000,15.358821822677925
65000,15.395617079237239
65000,15.432412335796553
55000,15.463546783654433
65000,15.500342040213747
65000,15.53713729677306
65000,15.573932553332375
65000,15.610727809891689
65000,15.647523066451003
65000,15.684318323010316
65000,15.72111357956963
65000,15.757908836128944
60000,15.79187368833754
65000,15.828668944896854
